;Tweets
0;Oktober 2019 Pak Bas bersama PM Belanda Mark Rutte foto bareng karena sama-sama pake handphone jadul. Kayaknya itu… https://t.co/yh2bogP3xD
1;Pak Bas pake Nokia?? https://t.co/73N7Yk7nUg
2;"Transportasi umum di Jakarta dari masa ke masa selalu berkembang, tapi apakah sudah oke dan cukup memadai?

Bersama… https://t.co/jqxF0A3Apy"
3;Majelis Hakim Pengadilan Negeri Jakarta Selatan menolak nota keberatan atau eksepsi Ferdy Sambo atas dakwaan dugaan… https://t.co/F0PBPQXcVe
4;Seorang pecinta sepak bola, Santiago Sanchez hilang di Iran. Ia dilaporkan menghilang dalam perjalanannya dari Madr… https://t.co/CzuckjdE0V
5;Sepakat atau enggak dengan penilaian BEM UI yang bilang Joko Widodo-Ma'ruf Amin belum menunaikan janji-janji politi… https://t.co/lFSftadoTd
6;Dalam melancarkan aksinya, sang peretas turut membubuhkan narasi mengenai dugaan pelecehan seksual yang terjadi di… https://t.co/6OsBAdQjuq
7;Ketinggian air di banjir Jakarta Timur mencapai 50-80 sentimeter (cm). Banjir akibat luapan Kali Item dan Kali Cili… https://t.co/2Zl0E9pC0Y
8;"Serangan udara tersebut menewaskan 80 orang, termasuk penyanyi dan musisi.

https://t.co/Jk3v5S7iTz"
9;Ia mengklarifikasi pernyataan kuasa hukum Brigadir J Kamaruddin Simanjuntak yang menyebut Putri Candrawathi ikut me… https://t.co/QvtNoSaiPK
10;Hotman Paris Hutapea, Pengacara Irjen Teddy Minahasa, menyampaikan bahwa barang bukti narkoba jenis sabu-sabu sudah… https://t.co/DacZgFJp9l
11;Kajari Serang Freddy D. Simandjuntak mengatakan penahanan dilakukan karena Nikita Mirzani dikhawatirkan melarikan d… https://t.co/CVRhAFfxnp
12;"Geger Komisaris PT Pelni, Dede Budhyarto memplesetkan kata “Khilafah” menjadi “Khilafuck.”

https://t.co/DAKEgRiWUZ"
13;"Juru Bicara Kementerian Perhubungan, Adita Irawati mengakui telah terjadi perkelahian antar taruna Kemenhub.

https://t.co/4o9LIYmqEq"
14;Gita Puspita baru tahu namanya dicatut usai didatangi polisi dan TNI. Gita mengaku tak memiliki akun Facebook dan I… https://t.co/hT1Y22oys6
15;Kabar Santiago Shanchez tak terdengar sejak tiga pekan lalu. Laki-laki 41 tahun itu terakhir terlihat di Irak setel… https://t.co/LxZiERCjZb
16;"Nikita Mirzani akan ditahan hingga 13 November 2022 di Rutan Kelas IIB Serang.

https://t.co/vryy18yfoF"
17;"BNPT menyebut pelaku penerobos Istana, SE kerap mengunggah propaganda khilafah melalui akun media sosialnya.

https://t.co/uk7MGdcgTn"
18;Satlantas Polres Bogor bakal menggelar tindakan dengan memberi sanksi baca Alquran. Sanksi ini berlaku bagi pengend… https://t.co/7rWS04VYtq
19;Bagi para pengendara yang melanggar aturan lalu lintas akan mendapat sanksi, tetapi penindakan pelanggaran dilakuka… https://t.co/V72cbbwerH
20;HMMM GIMANA YAA~ 🤔 https://t.co/7GpUHCbwCR
21;@aulia_akbarz96 Wah iya bener juga 🤔
22;Masih menjadi misteri, apa sih yang membedakan Bubur Kacang Ijo Khas Madura dengan yang lainnya? Sulit sekali mende… https://t.co/wf2gwsaZEP
23;Doa dipersembahkan bagi kalian yang masih bertarung di jalan, atau yang sedang mengentaskan pekerjaan. Selalu diber… https://t.co/mnR1z5xjfP
24;Terima kasih banyak Abang 🫶🏼 https://t.co/anS8weBSeQ
25;Kapal Cepat Cantika Express 77 rute Kupang-Alor, Nusa Tenggara Timur (NTT) mengalami kebakaran pada Senin (24/10/20… https://t.co/vKVrpQCCMW
26;"Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir berbicara mengenai pemilihan presiden (pilpres) 2024.

https://t.co/md3FkKLp5X"
27;https://t.co/HJz44MrrEP
28;Di episode kali ini, Joko Anwar akan bercerita mengenai masa kecil, remaja, hingga jatuh bangun dirinya dalam berka… https://t.co/FPWo0CUmpP
29;Takdir mengantarkannya menjadi sutradara dan produser bertangan dingin dengan karya-karya yang tak hanya mewarnai i… https://t.co/DIctkioldm
30;Namun lingkungan keluarganya tidak mendukungnya dan malah meredupkan keinginannya itu. Namun, pertemuannya dengan s… https://t.co/vf155lnk7X
31;"Manifesto: Mencari Makna Sinema di Kepala Joko Anwar

Dikenal sebagai kreator film-film horor hits Indonesia tak la… https://t.co/tagHj4RAb6"
32;Polda Metro Jaya juga mendalami afiliasi yang bersangkutan seraya memastikan investigasi kasus tersebut akan dilaks… https://t.co/8SriwSKQHw
33;Ganjar Pranowo berhasil meraup suara NasDem. Anies menempati posisi ketiga dengan persentase elektoral hanya 15,4 p… https://t.co/prS5Or04yD
34;Pemusnahan ladang ganja melibatkan 131 personel gabungan BNN, Polri, TNI, kejaksaan bea cukai, dan unsur pemerintah… https://t.co/TYnZ40xIbK
35;"Whatsapp down. Pihak WhatsApp mengakui terjadi pemadaman dan sedang bekerja untuk memulihkannya.

https://t.co/xS0BhpxVIZ"
36;"Polisi dalami asal pistol yang dibawa perempuan tersebut. Senjata api itu sempat ditodongkan ke anggota Paspampres.

https://t.co/fS2yByWrd6"
37;"Dewan Kolonel disebut-sebut sebagai wadah bagi pendukung Puan Maharani sebagai calon presiden (capres). 

https://t.co/Myx3ODiuAF"
38;Kuasa Hukum keluarga Brigadir J, Kamaruddin Simanjuntak menuding Putri Candrawathi turut menembak Brigadir Nofrians… https://t.co/V23vd5IbgO
39;Manifesto bersama @Jokoanwar, sesaat lagi hanya di Asumsi. https://t.co/HJz44M9iqH
40;"“Pemerintah mewajibkan vaksinasi booster, tapi barangnya langka,” ujar Koordinator Advokasi LaporCovid-19, Firdaus.

https://t.co/xujQDDQmzr"
41;"Pemerintah melarang bahan bakar minyak (BBM) dengan kadar RON 89 dan 88 serta yang lebih rendah dari keduanya.

https://t.co/ketfdFhRAD"
42;@registaco Turuuuuu!!!
43;Seorang perempuan dilaporkan berupaya menerobos Istana Negara. Perempuan yang diduga berusia 25 tahun itu sempat me… https://t.co/lFxiUEruZa
44;@aulianagnf ngobrolin apaan si emangnyah?
45;Jiakh!!! https://t.co/DyulKGOmTp
46;Sejauh ini japri masih aman, tapi kalo ke grup mampet. Ada yang sama?
47;WhatsApp down? https://t.co/6nETJsQcum
48;"Temuan itu terungkap setelah Kemenkes melakukan pengujian sel ginjal atau biopsi pasien gagal ginjal akut.

https://t.co/88av6IgzPZ"
49;"👀👀👀

@jokoanwar https://t.co/t6JjU0VGwg"
50;"Inget gak, berapa kali gagal saat tes ini? 😅😅

https://t.co/Zku4AF1CbM"
51;Ihiiiiiiwwww 🙌🙌 https://t.co/IpEbUUWSop
52;"Bharada E menyalami dan berlutut ke orang tua Brigadir J.

https://t.co/dl31WwWuB7"
53;Jubir Kemenkes dr. M Syahril mengatakan obat ini dipastikan tidak menggunakan Propilen Glikol, Polietilen Glikol, S… https://t.co/pZ5bDlvLJL
54;"Beberapa yang ditarik yakni sampo kering aerosol Dove, Nexxus, Suave, TIGI, dan TRESemmé. 

https://t.co/1Y2MK9Mb6R"
55;"Seorang Perempuan membawa pistol coba terobos Istana Negara. Disebut sempat todong Paspampres.

https://t.co/tHZ4s5k3t8"
56;Insiden ini bermula ketika anggota Sat Gatur melakukan tugas rutin pelayanan masyarakat penjagaan dan pengaturan di… https://t.co/J3UG1TYqyB
57;Penjabat (Pj) Gubernur DKI Jakarta Heru Budi Hartono meminta Dinas Perhubungan mempercepat sebaran informasi titik… https://t.co/ADZmNoJGlN
58;"Rishi Sunak menjadi PM Inggris. Karir politik Rishi di Inggris terbilang moncer.

https://t.co/qTIpE7h3sV"
59;Polisi meringkus seorang wanita bersenjata api yang diduga hendak menerobos Istana Presiden, Jakarta Pusat. Ia memb… https://t.co/fWPCjgWaN6
60;"Insiden itu terjadi pada Selasa (25/10/2022) pukul 07.00 WIB di pintu masuk Istana Negara.

https://t.co/h1CvLPOEGM"
61;Mahfud mengatakan peralihan tersebut dilakukan secara bertahap karena masih ada beberapa infrastruktur, yakni set t… https://t.co/HmqIFeLhYX
62;Penahanan itu lantaran penyidik menganggap pemeriksaan terhadap para tersangka sudah memadai. Sehingga dinilai suda… https://t.co/AOJfNix5gD
63;"Obat ini dianggap efektif untuk melawan penyakit gagal ginjal akut misterius yang kini marak menimpa anak-anak.

https://t.co/ome5FD4HPy"
64;Kepala Kantor Pencarian dan Pertolongan Kupang, I Putu Sudayana mengungkap pihaknya masih dalam proses pencarian be… https://t.co/x5u86ZgXkN
65;Kapal Feri Cepat (KFC) Cantika 77 pelayaran dari Kupang ke Kalabahi, Kabupaten Alorm, NTT terbakar, Senin (24/10/20… https://t.co/pu2QIzN7F8
66;Wuiiiih 🙌🏼🙌🏼 https://t.co/izdFNi0OuW
67;“Saya orang diklat. Semua kader mesti siap apapun,” kata Ganjar di Kantor DPP PDIP, Jalan Diponegoro, Jakarta Pusat… https://t.co/c78xFpxlOe
68;"🚨🚨🚨

Rishi Sunak jadi Perdana Menteri Inggris menggantikan posisi Liz Truss yang mundur belum lama ini.

Eks Menter… https://t.co/ykMiRdGxaM"
69;Dewan Pimpinan Pusat (DPP) PDI Perjuangan memberikan sanksi dalam bentuk teguran lisan kepada Gubernur Jawa Tengah… https://t.co/wXytkZfmcc
70;Pelaku diancam dengan pasal berlapis. Yaitu, pembunuhan berencana, perampokan yang mengakibatkan korban meninggal d… https://t.co/UCgOhqPLfh
71;“Kami dari kerajaan Saudi sangat menyambut jamaah Indonesia tanpa ada batasan terkait kesehatan, jumlah dan kami sa… https://t.co/0tpxJOkcrX
72;Hal itu merupakan buntut temuan etilen glikol (EG) dan dietilon glikol (DG) pada sejumlah produk obat yang ditengar… https://t.co/K6lylCmA2a
73;"“Kami sudah membantah tegas pernyataan Saudara Kamaruddin tersebut,"" ujar Pengacara Putri Candrawathi, Febri Diansy… https://t.co/C7Ih6IOzdi"
74;Kapolri Jenderal Listyo Sigit Prabowo memerintahkan jajarannya berbenah diri dengan memberantas pungutan liar (pung… https://t.co/DmQHbI32OX
75;"Angka paparan kasus gagal ginjal akut mengalami lonjakkan yang cukup signifikan ketimbang beberapa hari lalu.

https://t.co/SDaM1PA0SG"
76;Namun, tak ada keterangan lebih lanjut terkait industri mana yang dimaksud. Penny mengatakan tindak pidana yang dil… https://t.co/EG3tF0KvcB
77;Presiden Joko Widodo panggil Kepala BPOM, Penny Lukito dan Menteri Kesehatan, Budi Gunadi Sadikin untuk membahas te… https://t.co/VPVElPhQvE
78;"Presiden Joko Widodo atau Jokowi menegaskan komitmen dukungan terhadap kemerdekaan Palestina.

https://t.co/GvA39d1E3o"
79;https://t.co/g9fTNvGVrE
80;Pasti kalian udah tau dong, kalau Presiden Jokowi selalu mengunggah ucapan di hari nasional dalam bentuk poster, me… https://t.co/UiAOyHsblb
81;Hihi.. mana nih yang jadi favorit kalian dari deretan poster pak Jokowi? coba spill di kolom komentar yaa 😁👇🏻 https://t.co/NV1VlBlQ0L
82;"AKP Manaek S Ritonga punya harta mencapai Rp11.464.500.000 (Rp11,4 miliar).

https://t.co/UcaWHUT6kA"
83;KPK telah menetapkan Lukas Enembe sebagai tersangka kasus dugaan suap dan gratifikasi terkait pekerjaan atau proyek… https://t.co/hxmFAamJg6
84;Milenial dan Gen Z menggunakan paylater untuk membeli fesyen, aksesoris, pulsa, gawai, elektronik rumah tangga, hin… https://t.co/5anrj1sobY
85;"Kapolri Jenderal Listyo Sigit Prabowo mengancam akan mencopot jajarannya yang meminta uang 'setoran' ke bawahannya.

https://t.co/9G0vAY5mAH"
86;Kuasa Hukum Putri Candrawathi, Febri Diansyah menegaskan bahwa ada insiden kekerasan seksual yang dialami Putri di… https://t.co/mmaQx0tn12
87;Menurut Xi Jinping, China tidak bisa berkembang hanya dengan mengisolasi diri. Sebaliknya, dunia juga membutuhkan C… https://t.co/T0fK0sIwtu
88;Badan Pengawas Obat dan Makanan (BPOM) RI merilis daftar 133 produk obat sirup yang dinyatakan aman digunakan sesua… https://t.co/OV0Lxz5to2
89;"Kepuasan masyarakat terhadap Pemerintahan Jokowi-Maruf turun sebesar lima persen jika dibanding Juni 2022. 

https://t.co/vuL85KfLgq"
90;Indonesia sebenernya ngirimin lima petarung dalam turnamen ini. Sayangnya, cuma Jeka Saragih yang berhasil melaju h… https://t.co/1QvJv7N7C6
91;"Road to UFC sendiri adalah ajang pertarungan bagi para atlet Mixed Martial Art (MMA) dari Asia. 

Mereka baku hanta… https://t.co/BBX2fL0p0a"
92;Jeka Asparido Saragih atau Jeka Saragih, selangkah lagi akan mendapatkan kontrak eksklusif dari Ultimate Fighting C… https://t.co/DhoM4DJODB
93;Turut berduka 🥀🥀 https://t.co/xaGN96e9rN
94;"Jangan lupa makan siang gaes 🙌🏼🙌🏼

https://t.co/IlxGQqg0Xq"
95;Namun, penegakan hukum di tempat kejadian perkara (TKP) masih bisa dilakukan saat terjadi kejadian seperti kecelaka… https://t.co/tCVwajW9WN
96;Menurut pihak manajemen, brosur itu sengaja dimasukkan oleh salah seorang karyawan mereka tanpa seizin pihak Restor… https://t.co/l1fKerxX2B
97;"Maskapai Korean Air itu tergelincir dari landasan pacu pada dalam upaya pendaratan ketiga.

https://t.co/nrKZjlfGnC"
98;"Korban meninggal dunia tersebut bernama FDK (20 tahun) warga Kelurahan Mojolangu, Kota Malang. 

https://t.co/hS6dwbX088"
99;Australia menyebut gugusan Pulau Pasir sebagai Ashmore Reef. Gugusan Pulau Pasir memang tidak banyak dikenal masyar… https://t.co/xJh6p8VLyK
