Column1;Tweets;label
0;"Transportasi umum di Jakarta dari masa ke masa selalu berkembang, tapi apakah sudah oke dan cukup memadai?

Bersama… https://t.co/jqxF0A3Apy";0
1;Majelis Hakim Pengadilan Negeri Jakarta Selatan menolak nota keberatan atau eksepsi Ferdy Sambo atas dakwaan dugaan… https://t.co/F0PBPQXcVe;1
2;Seorang pecinta sepak bola, Santiago Sanchez hilang di Iran. Ia dilaporkan menghilang dalam perjalanannya dari Madr… https://t.co/CzuckjdE0V;0
3;Sepakat atau enggak dengan penilaian BEM UI yang bilang Joko Widodo-Ma'ruf Amin belum menunaikan janji-janji politi… https://t.co/lFSftadoTd;1
4;Dalam melancarkan aksinya, sang peretas turut membubuhkan narasi mengenai dugaan pelecehan seksual yang terjadi di… https://t.co/6OsBAdQjuq;0
5;Ketinggian air di banjir Jakarta Timur mencapai 50-80 sentimeter (cm). Banjir akibat luapan Kali Item dan Kali Cili… https://t.co/2Zl0E9pC0Y;0
6;"Serangan udara tersebut menewaskan 80 orang, termasuk penyanyi dan musisi.

https://t.co/Jk3v5S7iTz";0
7;Ia mengklarifikasi pernyataan kuasa hukum Brigadir J Kamaruddin Simanjuntak yang menyebut Putri Candrawathi ikut me… https://t.co/QvtNoSaiPK;1
8;Hotman Paris Hutapea, Pengacara Irjen Teddy Minahasa, menyampaikan bahwa barang bukti narkoba jenis sabu-sabu sudah… https://t.co/DacZgFJp9l;0
9;Kajari Serang Freddy D. Simandjuntak mengatakan penahanan dilakukan karena Nikita Mirzani dikhawatirkan melarikan d… https://t.co/CVRhAFfxnp;0
10;"Geger Komisaris PT Pelni, Dede Budhyarto memplesetkan kata “Khilafah” menjadi “Khilafuck.”

https://t.co/DAKEgRiWUZ";0
11;"Juru Bicara Kementerian Perhubungan, Adita Irawati mengakui telah terjadi perkelahian antar taruna Kemenhub.

https://t.co/4o9LIYmqEq";0
12;Gita Puspita baru tahu namanya dicatut usai didatangi polisi dan TNI. Gita mengaku tak memiliki akun Facebook dan I… https://t.co/hT1Y22oys6;0
